,Values
RMSE - Baseline,0.5005754897187528
R2 - Baseline,0.8882125700824098
Linear RMSE - Baseline,0.40681258227478584
Linear R2 - Baseline,-1.4540325378241654
SGD RMSE - Baseline,51502397381527.195
SGD R2 - Baseline,-3.9332038371513873e+28
Linear RMSE - Only Headlines,0.29380293018008524
Linear R2 - Only Headlines,-0.3606722423695268
SGD RMSE - Only Headlines,4584481856294.325
SGD R2 - Only Headlines,-3.313002748984678e+26
XGB RMSE - Only Headlines,0.2641296892112832
XGB R2 - Only Headlines,-0.0997037863559922
SVR RMSE - Only Headlines,0.26527551877559535
SVR R2 - Only Headlines,-0.1092658033799856
Linear RMSE - Only Twitter,0.42286568179520706
Linear R2 - Only Twitter,-1.6515293881682362
SGD RMSE - Only Twitter,10140078564644.73
SGD R2 - Only Twitter,-1.524664200441823e+27
XGB RMSE - Only Twitter,0.5130955207361991
XGB R2 - Only Twitter,-2.903804046773216
SVR RMSE - Only Twitter,0.43786125556305255
SVR R2 - Only Twitter,-1.8429197421815071
Linear RMSE - All,0.07919300420349946
Linear R2 - All,0.9011412951810626
SGD RMSE - All,9070243038141.975
SGD R2 - All,-1.296818292877619e+27
XGB RMSE - All,0.2599697618052015
XGB R2 - All,-0.06533685651000298
RF RMSE - All,0.49561102698642834
RF R2 - All,-2.8718916957856253
SVR RMSE - All,0.15289528887742546
SVR R2 - All,0.6315067921177251
