,Values
RMSE - Baseline,0.6278286937541019
R2 - Baseline,0.9569082767003713
Linear RMSE - Baseline,0.3508883272014684
Linear R2 - Baseline,-2.599058790413807
SGD RMSE - Baseline,19347566728310.703
SGD R2 - Baseline,-1.094217875275922e+28
Linear RMSE - Only Headlines,0.21027510556143997
Linear R2 - Only Headlines,0.3872277139330499
SGD RMSE - Only Headlines,12513740745877.895
SGD R2 - Only Headlines,-2.1701897216405688e+27
XGB RMSE - Only Headlines,1.8234870711838504
XGB R2 - Only Headlines,-45.08172975792804
SVR RMSE - Only Headlines,0.03153168499382269
SVR R2 - Only Headlines,0.9862209982806988
Linear RMSE - Only Twitter,0.34783924669513766
Linear R2 - Only Twitter,-2.536781763345406
SGD RMSE - Only Twitter,30341767950038.293
SGD R2 - Only Twitter,-2.691118761661104e+28
XGB RMSE - Only Twitter,1.4599457132049076
XGB R2 - Only Twitter,-61.30523139381999
SVR RMSE - Only Twitter,0.3771730739740412
SVR R2 - Only Twitter,-3.158459358857601
Linear RMSE - All,0.21414067376855225
Linear R2 - All,0.3644909706282151
SGD RMSE - All,4307133782699.3623
SGD R2 - All,-2.570988409592561e+26
XGB RMSE - All,0.4420487227502419
XGB R2 - All,-1.7080936320571922
RF RMSE - All,0.5133087404524567
RF R2 - All,-2.6515791153253327
SVR RMSE - All,0.017139853519737795
SVR R2 - All,0.9959286577890784
