,Values
RMSE - Baseline,1.6366726673906984
R2 - Baseline,0.853879647876526
Linear RMSE - Baseline,0.41584815535362296
Linear R2 - Baseline,-0.5492122433440989
SGD RMSE - Baseline,91542964166740.23
SGD R2 - Baseline,-7.5074302064978175e+28
Linear RMSE - Only Headlines,0.7449847057495104
Linear R2 - Only Headlines,-7.648637141440277
SGD RMSE - Only Headlines,52680154194958.41
SGD R2 - Only Headlines,-4.324610888817451e+28
XGB RMSE - Only Headlines,3.564195685790042
XGB R2 - Only Headlines,-196.95936083096333
SVR RMSE - Only Headlines,0.3299191164909436
SVR R2 - Only Headlines,-0.6961643216333058
Linear RMSE - Only Twitter,0.41856992730263953
Linear R2 - Only Twitter,-0.5695581385274588
SGD RMSE - Only Twitter,43727409643878.555
SGD R2 - Only Twitter,-1.7129664773777076e+28
XGB RMSE - Only Twitter,1.2299600931786383
XGB R2 - Only Twitter,-12.55262442752057
SVR RMSE - Only Twitter,0.4336779886573132
SVR R2 - Only Twitter,-0.6849077270368675
Linear RMSE - All,0.6589381933472097
Linear R2 - All,-5.766160947701489
SGD RMSE - All,110130022080352.45
SGD R2 - All,-1.890011362607985e+29
XGB RMSE - All,3.666531204488282
XGB R2 - All,-208.4902106535088
RF RMSE - All,0.635200202025129
RF R2 - All,-5.287445268932523
SVR RMSE - All,0.2535369238174693
SVR R2 - All,-0.0016947461606331427
