,Values
RMSE - Baseline,0.5613602215176254
R2 - Baseline,0.7553623172775742
Linear RMSE - Baseline,0.398575333766189
Linear R2 - Baseline,-4.8214299213246345
SGD RMSE - Baseline,3653588936367.8394
SGD R2 - Baseline,-4.89156922338387e+26
Linear RMSE - Only Headlines,0.4629026223782528
Linear R2 - Only Headlines,-4.893812458697473
SGD RMSE - Only Headlines,14327805813985.717
SGD R2 - Only Headlines,-5.646461924971769e+27
XGB RMSE - Only Headlines,0.5901625853219633
XGB R2 - Only Headlines,-8.579886775699043
SVR RMSE - Only Headlines,0.3351103245113606
SVR R2 - Only Headlines,-2.088820329254876
Linear RMSE - Only Twitter,0.39986598716312444
Linear R2 - Only Twitter,-4.859192484959171
SGD RMSE - Only Twitter,3300861855878.672
SGD R2 - Only Twitter,-3.9926710888585635e+26
XGB RMSE - Only Twitter,0.7399602715301417
XGB R2 - Only Twitter,-19.064375319743323
SVR RMSE - Only Twitter,0.40903974533374754
SVR R2 - Only Twitter,-5.131120553226674
Linear RMSE - All,0.297923980696522
Linear R2 - All,-1.441338244434185
SGD RMSE - All,3038133518394.089
SGD R2 - All,-2.5388131696803712e+26
XGB RMSE - All,0.49346509539332295
XGB R2 - All,-5.69776503514606
RF RMSE - All,0.3660674675250729
RF R2 - All,-2.685863941604306
SVR RMSE - All,0.3355943617035979
SVR R2 - All,-2.097749828483499
