,Values
RMSE - Baseline,0.7534147199328903
R2 - Baseline,0.6975580470186513
Linear RMSE - Baseline,0.3885662641019991
Linear R2 - Baseline,-0.19553526104594643
SGD RMSE - Baseline,32228888198838.016
SGD R2 - Baseline,-8.224752800743468e+27
Linear RMSE - Only Headlines,0.5527221292365276
Linear R2 - Only Headlines,-0.6492233322508891
SGD RMSE - Only Headlines,2899241678946.1943
SGD R2 - Only Headlines,-4.5376877083885604e+25
XGB RMSE - Only Headlines,0.4829488791541588
XGB R2 - Only Headlines,-0.25912280502798724
SVR RMSE - Only Headlines,0.5442894760903556
SVR R2 - Only Headlines,-0.5992841732756626
Linear RMSE - Only Twitter,0.3761056100912782
Linear R2 - Only Twitter,-0.12008718668730833
SGD RMSE - Only Twitter,29447918115744.473
SGD R2 - Only Twitter,-6.866594474685703e+27
XGB RMSE - Only Twitter,0.3585276280446089
XGB R2 - Only Twitter,-0.017835190173651094
SVR RMSE - Only Twitter,0.411238801191472
SVR R2 - Only Twitter,-0.3391227092320974
Linear RMSE - All,0.5638128864116776
Linear R2 - All,-0.7160730086418625
SGD RMSE - All,2384237135155.1064
SGD R2 - All,-3.0687722677192856e+25
XGB RMSE - All,0.5116829751943381
XGB R2 - All,-0.41340850240400173
RF RMSE - All,0.8808563256471973
RF R2 - All,-3.1886678161468076
SVR RMSE - All,0.5067956233513612
SVR R2 - All,-0.38653704152507884
