,Values
RMSE - Baseline,3.2547528154586804
R2 - Baseline,0.9703028140910137
Linear RMSE - Baseline,1.8182905931410913
Linear R2 - Baseline,-2.6797155721246604
SGD RMSE - Baseline,482328962593345.75
SGD R2 - Baseline,-2.5892521689982207e+29
Linear RMSE - Only Headlines,2.6083519868307854
Linear R2 - Only Headlines,-14.083704951906293
SGD RMSE - Only Headlines,140727310187448.95
SGD R2 - Only Headlines,-4.390686282731969e+28
XGB RMSE - Only Headlines,6.767337112392125
XGB R2 - Only Headlines,-100.53394404310308
SVR RMSE - Only Headlines,1.5164055694269725
SVR R2 - Only Headlines,-4.098076824109668
Linear RMSE - Only Twitter,1.299223059471752
Linear R2 - Only Twitter,-0.8786899279829687
SGD RMSE - Only Twitter,96593836101173.72
SGD R2 - Only Twitter,-1.0384521612752853e+28
XGB RMSE - Only Twitter,6.967264775611606
XGB R2 - Only Twitter,-53.027179703240144
SVR RMSE - Only Twitter,1.7642327555418031
SVR R2 - Only Twitter,-2.464171856265919
Linear RMSE - All,2.5326179391402723
Linear R2 - All,-13.220504088409719
SGD RMSE - All,133859157641145.1
SGD R2 - All,-3.972572294733388e+28
XGB RMSE - All,7.342498920448696
XGB R2 - All,-118.52628370742893
RF RMSE - All,5.993180686745541
RF R2 - All,-78.63250483620486
SVR RMSE - All,1.5069818667178783
SVR R2 - All,-4.034909713051476
