,Values
RMSE - Baseline,16.944490999273544
R2 - Baseline,0.938250085003281
Linear RMSE - Baseline,7.237231981508844
Linear R2 - Baseline,-2.216599178663146
SGD RMSE - Baseline,555091758581219.4
SGD R2 - Baseline,-1.892263090012696e+28
Linear RMSE - Only Headlines,6.631624453241083
Linear R2 - Only Headlines,-1.4402114669632007
SGD RMSE - Only Headlines,5775361762802770.0
SGD R2 - Only Headlines,-1.850742514085701e+30
XGB RMSE - Only Headlines,34.819175885394834
XGB R2 - Only Headlines,-66.27048994265542
SVR RMSE - Only Headlines,5.186210740009357
SVR R2 - Only Headlines,-0.49240926141422725
Linear RMSE - Only Twitter,9.616571081766319
Linear R2 - Only Twitter,-4.67926915525885
SGD RMSE - Only Twitter,555077283206959.44
SGD R2 - Only Twitter,-1.8921644005298985e+28
XGB RMSE - Only Twitter,46.498149326115616
XGB R2 - Only Twitter,-131.77713551165294
SVR RMSE - Only Twitter,9.920111620404768
SVR R2 - Only Twitter,-5.043451999115145
Linear RMSE - All,9.189947250798193
Linear R2 - All,-3.686122661134977
SGD RMSE - All,5775364754315731.0
SGD R2 - All,-1.8507444313756923e+30
XGB RMSE - All,46.97239702434745
XGB R2 - All,-121.42583113285775
RF RMSE - All,33.95215126259372
RF R2 - All,-62.962025650275216
SVR RMSE - All,11.214092255771405
SVR R2 - All,-5.977757372669531
