,Values
RMSE - Baseline,0.9491584484513501
R2 - Baseline,0.9136467913090749
Linear RMSE - Baseline,0.7056908537876276
Linear R2 - Baseline,-1.971848833080172
SGD RMSE - Baseline,120224563807258.77
SGD R2 - Baseline,-8.625497574138952e+28
Linear RMSE - Only Headlines,0.8361605662282445
Linear R2 - Only Headlines,-48.38888074675725
SGD RMSE - Only Headlines,110324029823375.02
SGD R2 - Only Headlines,-8.597853760308298e+29
XGB RMSE - Only Headlines,2.1649229690401857
XGB R2 - Only Headlines,-330.0813491843109
SVR RMSE - Only Headlines,0.7091559366943412
SVR R2 - Only Headlines,-34.52493613667747
Linear RMSE - Only Twitter,0.7211585417187214
Linear R2 - Only Twitter,-2.1035535333122297
SGD RMSE - Only Twitter,34068000306792.594
SGD R2 - Only Twitter,-6.926136114898654e+27
XGB RMSE - Only Twitter,2.1400050214423456
XGB R2 - Only Twitter,-26.329225369536957
SVR RMSE - Only Twitter,0.7697579013388184
SVR R2 - Only Twitter,-2.5359494544141237
Linear RMSE - All,1.102205000476358
Linear R2 - All,-84.81724613913406
SGD RMSE - All,27154734749666.258
SGD R2 - All,-5.208839189317086e+28
XGB RMSE - All,2.197914975095849
XGB R2 - All,-340.24916392965514
RF RMSE - All,0.49017741485108596
RF R2 - All,-15.97291413309274
SVR RMSE - All,0.7334709395864312
SVR R2 - All,-37.002804121461594
