,Values
RMSE - Baseline,1.3229783795029892
R2 - Baseline,0.9531774519135383
Linear RMSE - Baseline,0.8517884391243894
Linear R2 - Baseline,-1.3055805069694828
SGD RMSE - Baseline,11232769968830.646
SGD R2 - Baseline,-4.009502969663876e+26
Linear RMSE - Only Headlines,0.1708423114198225
Linear R2 - Only Headlines,-10.598777692410819
SGD RMSE - Only Headlines,139651824314764.84
SGD R2 - Only Headlines,-7.75022969935763e+30
XGB RMSE - Only Headlines,1.495078797774603
XGB R2 - Only Headlines,-887.2792408165715
SVR RMSE - Only Headlines,0.22952496895563068
SVR R2 - Only Headlines,-19.93539802132095
Linear RMSE - Only Twitter,1.0147174668639356
Linear R2 - Only Twitter,-2.27195318632693
SGD RMSE - Only Twitter,118077203062502.4
SGD R2 - Only Twitter,-4.43046105779993e+28
XGB RMSE - Only Twitter,3.0335982171409803
XGB R2 - Only Twitter,-28.243741064459886
SVR RMSE - Only Twitter,0.8844039318977339
SVR R2 - Only Twitter,-1.4855250152731778
Linear RMSE - All,1.529284561647315
Linear R2 - All,-928.3899159244698
SGD RMSE - All,139647191439852.08
SGD R2 - All,-7.749715488399915e+30
XGB RMSE - All,3.4144731692505923
XGB R2 - All,-4632.068872547084
RF RMSE - All,0.5687107381020295
RF R2 - All,-127.52991026165003
SVR RMSE - All,0.5232898703589907
SVR R2 - All,-107.81931888015684
