,Values
RMSE - Baseline,5.29804529967411
R2 - Baseline,0.9285368495759064
Linear RMSE - Baseline,0.33560474807473456
Linear R2 - Baseline,0.48805415865400836
SGD RMSE - Baseline,474202276672567.2
SGD R2 - Baseline,-1.0221040187706827e+30
Linear RMSE - Only Headlines,2.1993647466308635
Linear R2 - Only Headlines,-63.87543797439302
SGD RMSE - Only Headlines,91248503215343.84
SGD R2 - Only Headlines,-1.1167019701047712e+29
XGB RMSE - Only Headlines,4.880689981686551
XGB R2 - Only Headlines,-318.4833492263759
SVR RMSE - Only Headlines,2.058284542716905
SVR R2 - Only Headlines,-55.81939549858671
Linear RMSE - Only Twitter,0.9088507604285937
Linear R2 - Only Twitter,-2.7545075006202047
SGD RMSE - Only Twitter,8163206360712.751
SGD R2 - Only Twitter,-3.02893097917021e+26
XGB RMSE - Only Twitter,6.319008175213931
XGB R2 - Only Twitter,-180.49541612342702
SVR RMSE - Only Twitter,0.20512724911120492
SVR R2 - Only Twitter,0.808744233539544
Linear RMSE - All,5.272421228590445
Linear R2 - All,-371.82582171187556
SGD RMSE - All,237559827520755.72
SGD R2 - All,-7.568882902034836e+29
XGB RMSE - All,4.4215185747122305
XGB R2 - All,-261.1975874977069
RF RMSE - All,2.399049622629959
RF R2 - All,-76.19056966398139
SVR RMSE - All,2.1617284961287875
SVR R2 - All,-61.674096041334614
