,Values
RMSE - Baseline,2.9275611412027542
R2 - Baseline,0.9589853513212392
Linear RMSE - Baseline,2.3740580101336892
Linear R2 - Baseline,-0.682181026491103
SGD RMSE - Baseline,722290624526622.2
SGD R2 - Baseline,-1.5570911347686848e+29
Linear RMSE - Only Headlines,4.115195391651189
Linear R2 - Only Headlines,-185.05581131356243
SGD RMSE - Only Headlines,69137940590180.51
SGD R2 - Only Headlines,-5.251643009934605e+28
XGB RMSE - Only Headlines,5.587470165003197
XGB R2 - Only Headlines,-341.99892004969814
SVR RMSE - Only Headlines,0.8907258559733751
SVR R2 - Only Headlines,-7.716666630352899
Linear RMSE - Only Twitter,2.5683269005334552
Linear R2 - Only Twitter,-0.9687504839082013
SGD RMSE - Only Twitter,76653424020092.39
SGD R2 - Only Twitter,-1.753691491337683e+27
XGB RMSE - Only Twitter,10.98035557532894
XGB R2 - Only Twitter,-34.98511416176836
SVR RMSE - Only Twitter,3.2299370565439274
SVR R2 - Only Twitter,-2.1137102399151035
Linear RMSE - All,4.005837690217011
Linear R2 - All,-175.29866154619168
SGD RMSE - All,66969459435399.09
SGD R2 - All,-4.927378283547042e+28
XGB RMSE - All,5.978588097084363
XGB R2 - All,-391.698809419689
RF RMSE - All,6.331931735613311
RF R2 - All,-439.4886946207207
SVR RMSE - All,0.9959855733080197
SVR R2 - All,-9.89854229288981
