,Values
RMSE - Baseline,6.205338639004781
R2 - Baseline,0.9099651675011722
Linear RMSE - Baseline,10.512209242873656
Linear R2 - Baseline,-4.199726969480751
SGD RMSE - Baseline,220126014942351.72
SGD R2 - Baseline,-2.2800023213505343e+27
Linear RMSE - Only Headlines,1.900445334047781
Linear R2 - Only Headlines,-67.02398506348608
SGD RMSE - Only Headlines,561792891877322.8
SGD R2 - Only Headlines,-5.94434198832587e+30
XGB RMSE - Only Headlines,9.617895031883213
XGB R2 - Only Headlines,-1741.2536103813584
SVR RMSE - Only Headlines,2.150549435638493
SVR R2 - Only Headlines,-86.1064205912789
Linear RMSE - Only Twitter,11.26096792204678
Linear R2 - Only Twitter,-4.966834457837767
SGD RMSE - Only Twitter,215829548287022.22
SGD R2 - Only Twitter,-2.191867766352074e+27
XGB RMSE - Only Twitter,12.131705563591463
XGB R2 - Only Twitter,-5.925262969028288
SVR RMSE - Only Twitter,11.280205213975814
SVR R2 - Only Twitter,-4.987238348925851
Linear RMSE - All,1.7801313125719518
Linear R2 - All,-58.68365156651969
SGD RMSE - All,561793130557738.0
SGD R2 - All,-5.944347039291576e+30
XGB RMSE - All,10.025047520069453
XGB R2 - All,-1891.8848142172642
RF RMSE - All,4.6621723468697835
RF R2 - All,-408.3812572464923
SVR RMSE - All,1.8388558739801488
SVR R2 - All,-62.686398510194095
