,Values
RMSE - Baseline,0.12372686634716483
R2 - Baseline,0.85433104202681
Linear RMSE - Baseline,0.121956988363884
Linear R2 - Baseline,-2.3011850579780257
SGD RMSE - Baseline,1068237578798.3004
SGD R2 - Baseline,-2.5327492271880105e+26
Linear RMSE - Only Headlines,0.006135090658170203
Linear R2 - Only Headlines,0.643454603274686
SGD RMSE - Only Headlines,1146875967182.6401
SGD R2 - Only Headlines,-1.2459647873772437e+28
XGB RMSE - Only Headlines,0.12477553882553004
XGB R2 - Only Headlines,-146.47953932723732
SVR RMSE - Only Headlines,0.00026217699552986073
SVR R2 - Only Headlines,0.9993488785105394
Linear RMSE - Only Twitter,0.12053154034691677
Linear R2 - Only Twitter,-2.22446674029932
SGD RMSE - Only Twitter,1043408110128.009
SGD R2 - Only Twitter,-2.4163781741015357e+26
XGB RMSE - Only Twitter,0.13185250322071032
XGB R2 - Only Twitter,-2.858630979740279
SVR RMSE - Only Twitter,0.11705543831554362
SVR R2 - Only Twitter,-2.041162868464151
Linear RMSE - All,0.010317647628561978
Linear R2 - All,-0.008403275446561498
SGD RMSE - All,1132483306787.3738
SGD R2 - All,-1.2148886718880666e+28
XGB RMSE - All,0.11650667159374399
XGB R2 - All,-127.58030603385268
RF RMSE - All,0.08019225197045053
RF R2 - All,-59.91688444656397
SVR RMSE - All,0.035800425996347834
SVR R2 - All,-11.140854467598126
