,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
38,2020-10-07 20:29:09,"Wednesday's Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $BAC $SCHW $CME $GS $TRV $PRU $TROW $AIG $DFS $SPG $JPM $C $ALL $BK $AVB $PGR $WFC $KEY $USB $AFL #stock #stocks #StockMarket #Investment #finance #investing  ",4581,0.1059288720344078,0.0,0.9520000000000001,0.048,0.2237294108125607
42,2020-10-07 20:12:07,"$GS [15s. delayed] filed form 424B2 on October 07, 16:11:04 ",1480,0.03422281829533367,0.0,1.0,0.0,0.0
43,2020-10-07 20:03:00,"$SPY SPDR S&amp;P 500 Option Alert: Nov 20 $321 Puts Sweep (5) near the Ask: 911  $6.081 vs 13295 OI; Ref=$340.75 [10/7/2020, 11:02:22 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $FIZZ $KWEB $GS $SQ $BIDU $TAP $CGC $RSP $TJX $PBW $SPXS $MOS",770,0.0178051149239236,0.0,0.95,0.05,0.3012703140174813
44,2020-10-07 20:02:24,"$GS [15s. delayed] filed form 424B2 on October 07, 16:01:14 ",1480,0.03422281829533367,0.0,1.0,0.0,0.0
47,2020-10-07 19:57:28,"$GS [15s. delayed] filed form 424B2 on October 07, 15:56:28 ",1480,0.03422281829533367,0.0,1.0,0.0,0.0
49,2020-10-07 19:40:42,$RMSL OVERSOLD #BIOTECH 52WKH 1.20! 1000%+ POTENTIAL💸 $SPY $SPX $QQQ $ES_F $NQ_F $RTY_F $ZB_F $GC_F $NDX $RUT $AAPL $NFLX $AMZN $TSLA $FB $MSFT $DIA $NDX $IWM $QCOM $GDX $DAX $BYND $TWTR $GLD $SLV $GE_F $BABA $TLT $LYFT $VXX $TVIX $VIX $XLE $XOM $JPM $GS $GOOG $DIS $IBM #Options ,113,0.002612958423900476,0.0,1.0,0.0,0.0
50,2020-10-07 19:40:35,"  We need to get the gang back together before the election and figure out some good buys.  I think if Dems win big, unless Trump actively tries to destroy America, we will have a big big Biden rally into Jan.  $GS seems to agree!",354,0.008185728159829809,0.067,0.708,0.226,0.8136058826249828
51,2020-10-07 19:30:40,How to digitally place $2 trillion cash onto bank accounts : Hari Moorthy Goldman Sachs Global Head of Transaction Banking with 400 talents created this breakthrough in 18 months $GS explains how at #Sibos to Sanat Rao $INFY Finacle   in next 18 months rollout in Europe Asia  ,174,0.004023493502289229,0.0,0.898,0.102,0.614863987420802
55,2020-10-07 19:19:11,"OPINION: If this report is correct, #buythedip on the #bigbanks since their earnings are coming up!! $bac $jpm $c $ms $gs #banks... If loss reserves are reduced... 🙄 #cnbc   ",73,0.001688017388891458,0.09699999999999999,0.903,0.0,-0.4381383388059011
56,2020-10-07 19:16:45,$GS Old Lloyd Bank-Fine on #CNBC premarket tomorrow.  Perhaps market is counting on him to give the market a David Tepper like boost?,6141,0.14200157239975952,0.0,0.794,0.20600000000000002,0.7273408014614069
59,2020-10-07 19:15:54,"$GS [15s. delayed] filed form 424B2 on October 07, 15:14:54 ",1480,0.03422281829533367,0.0,1.0,0.0,0.0
60,2020-10-07 19:14:46,"$GS [15s. delayed] filed form 424B2 on October 07, 15:13:43 ",1480,0.03422281829533367,0.0,1.0,0.0,0.0
61,2020-10-07 19:00:43,Dmitry looks at the Long Call Option Screener finds Ideas in $JNJ $UNH $BAC $MS $GS. ,2929,0.06772880728853535,0.0,1.0,0.0,0.0
62,2020-10-07 18:52:32,Report: Goldman Sachs Reducing Its Number of Partners $GS  $SPY,1443,0.03336724783795033,0.0,0.8740000000000001,0.126,0.07977595153308976
63,2020-10-07 18:49:59,Join the most profits trading alerts chatroom&gt;   $SPY $QQQ $NDX $DIA $IWM $NFLX $FB $INTC $SMH $AAPL $NVDA $TSLA $ES $YM $AMZN $BA $GS $JPM $AMZN $FB $NFLX $TWTR $HYLN $WKHS $NIO $JD $PLTR $SNOW $ANT $KCAC $LCA $CRWD $SPOT $CHWY $NCLH $SAVE $BA $SBUX $SQ,105,0.002427970216898673,0.0,0.8909999999999999,0.109,0.6606000323729363
64,2020-10-07 18:46:50,"You tell me, is $DXY in a Head &amp; Shoulders Pattern?  $gdx $gld $slv $f $ge $aapl $msft $dis $tsla $eur $amzn $bac $usdchf $gbpusd $ubs $ba $mrna $ibb $jnj $baba $fb $usdinr $gs $jpm $ms $jnj $spx $spy $qqq $eurusd $usdjpy $xlf $uup $vix $gold #forex #forexsignals #forextrading ",53,0.001225546871386949,0.0,1.0,0.0,0.0
65,2020-10-07 18:45:04,$LRN is &gt; $30 now  Next up $31.04 as our appetizer bottom saucer  I don't want to see it pullback too deep above $30 before it climbs again  $AAPL $AMZN $AAL $BIGC $CRM $DDOG $FLDM $FSLY $GS $JETS $NIO $QID $PTON $SPCE $SPY $TSLA $TWTR ,588,0.013596633214632569,0.027999999999999997,0.972,0.0,-0.05797772741987699
67,2020-10-07 18:35:12,Hey  -- Your thoughts on $GS?,71,0.0016417703371410072,0.0,1.0,0.0,0.0
70,2020-10-07 18:22:00,$SCNG Through Strattner Capital Management Ltd. signed an agreement with UK Based FCA Regulatory Hosting Provider Vantage Ventures to Launch Full-Service Brokerage Business which will be an instrumental piece to our core business. $ETFC $AMTD $GS,130,0.003006058363779309,0.0,0.9159999999999999,0.084,0.4953846922258706
71,2020-10-07 18:14:48,"$SCNG is a diversified alternative investment management firm focused on growing and managing  group assets, commercial interests, subsidiaries, and services across a broad spectrum of  industries where the firm identifies value. $GS Goldman Sachs Eyes Creating $2B Tech Fund.",130,0.003006058363779309,0.0,0.711,0.289,0.8650927253387596
72,2020-10-07 18:11:33,Goldman Sachs will promote fewer partners this year and give them access to profits from its private investment funds.: #banks #compensation $GS ,655,0.015145909448272672,0.0,0.784,0.21600000000000003,0.6806553322850668
74,2020-10-07 18:06:22,I Doubt Donald Trump Tweeted This.   $aapl $amzn $ba $bhc $brk $ko $ibm $pep $msft $nflx $tsla $goog $mcd $shak $crm $tst $dis $f $ge $gm $hlf $iep $ge $gm $tgt $kr $jpm $bac $c $ms $gs $dal $luv $ual $nke $sbux  $tst $abbv $pfe $mrk $googl $orcl ,131,0.003029181889654535,0.052000000000000005,0.948,0.0,-0.3622941404985433
75,2020-10-07 18:05:30,$GS next week results and premiums looks like dead cheap some how any idea? I am thinking to enter some loto on 220 calls  $C $JPM $BLK $WFC,181,0.004185358183415807,0.135,0.7859999999999999,0.079,-0.4232641284743097
76,2020-10-07 17:56:40," $CME, D, $EA, $GS, $HDB, $HIG    Moving",149,0.003445405355408593,0.0,1.0,0.0,0.0
