,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
1706,2020-09-25 14:30:00,$spy $spx $compq $ndx $qqq $aapl $amzn $twtr $fb $msft $nflx #Futures $crm $penn $nvda $googl $spxu $googl $shop $spot $compq #RBG #RBGForever #RBGstrong    10 30 am est todays current sector performance ',62,9.297466905141693e-06,0.0,1.0,0.0,0.0
1707,2020-09-25 14:27:00,"$AAPL, $COST, $MSFT Watching Big Tech For Clues: Direction Of Mega-Caps, Including Apple, Could be Key - '",3986,0.0005977371465144322,0.0,1.0,0.0,0.0
1709,2020-09-25 14:26:00,Im seeing the A/D line turning up for a Daily Buy signal at this time with Liquidity at the Hi Of Day $IWM $TZA $TNA $NDX $QQQ $AAPL $NFLX $AMZN $FB $MSFT $XOP $NYSE $XLK $XLB $XLV $XLY $XLP $XLF $XLE $SPX     ',1536,0.00023033724461770391,0.0,1.0,0.0,0.0
1710,2020-09-25 14:25:00,   $MSFT more like 4th inning \xf0\x9f\xa4\x94',360,5.3985291707274356e-05,0.0,0.642,0.358,0.4201226792210462
1711,2020-09-25 14:25:00,$msft $sunw $avgr $opti $spaq $nkla $evfm $tsla $spi $idex $shll $srne $ibio $fb $wkhs $vxrt $spy $aal $nio $xspa $aapl $ino $novn $gme $boxl $je $cbat $pola $lca  WE ALERTED $GEVO at $.58 RAN TO $2.18 (275% GAIN!)   Daily Alerts  $15 ONE TIME FEE!  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',4233,0.0006347770549913676,0.0,1.0,0.0,0.0
1712,2020-09-25 14:22:00,Lighten Up On FAANG With This Nifty Nasdaq ETF  Related Tickers: $AAPL $AMZN $MSFT $QQQE',2593,0.0003888440594360067,0.0,0.838,0.162,0.4020562764274873
1713,2020-09-25 14:21:00,#Options Flow Grid Update $MSFT #OptionsTrading #Microsoft Shares \xe2\xac\x86\xef\xb8\x8f0.15% to $203.5 #OptionsFlow #Microsoft365 #stocks #stock #StockMarket #investing #Investment   ',3469,0.0005202082692570409,0.0,0.885,0.115,0.2961539816477001
1714,2020-09-25 14:21:00,"When you consider that $MSFT just purchased a whole library of content including Bethesda titles, and that Nadella confirmed that this acquisition is not the last in the gaming space for Microsoft, I can't think of a better gaming ecosystem now.  Game Pass will DOMINATE the space""",7248,0.0010869038730397904,0.099,0.9009999999999999,0.0,-0.5637120355709088
1716,2020-09-25 14:20:00,#Microsoft $MSFT Has A Neutral #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Weak; moving average score Neutral; #momentum score Good #stocks #stock #StockMarket #Investment #investing  ',2529,0.00037924667424360227,0.094,0.812,0.094,0.0
1717,2020-09-25 14:20:00,"$NGTF  Nightfood Launches Into Pacific Northwest With Northwest Grocers, Including Red Apple and Thriftway Markets    $TSLA $MSFT $ABML $ETRF $NAK $PMCB $BRTXQ $HTBX $TRIL $NIO $NKLA $STHC $ATDS $GNUS $RNWF $TSOI $ESYL $HEMP $ALYI '",30815,0.004620991010999054,0.0,1.0,0.0,0.0
1715,2020-09-25 14:20:00,$TZA is set to move lower but the open has been a lil choppy $IWM $TNA $NDX $QQQ $AAPL $NFLX $AMZN $FB $MSFT $XOP $NYSE $XLK $XLB $XLV $XLY $XLP $XLF $XLE $SPX     ',1536,0.00023033724461770391,0.049,0.951,0.0,-0.153135264632151
1719,2020-09-25 14:20:00,Did you benefit from this recent dividend increase?  $MSFT has been one of my best performing stocks to date!  ',1683,0.00025238123873150763,0.0,0.62,0.38,0.8689192435820862
1718,2020-09-25 14:20:00," $MSFT does need to pull it's finger out. While it's doing it hope it drags $AMD with it!""",86,1.2896486352293318e-05,0.081,0.7659999999999999,0.153,0.35950463628684365
