,timestamp,tweet_text,followers_count
10,2020-09-23 23:28:00,"b'@vitaliyk It was impossible to overpay for $MSFT, $AAPL, $NFLX, and $AMZN 20 years ago  Companies that can grow at a double-digit rate for decades are super rare  But if you can find them you can do very well, even if the valuation is high'",44269
11,2020-09-23 23:28:00,b'$BAC almost reached my 23.07 level. Took a little over 2 weeks for this to play out.   $SPY $FB $AMZN $AAPL $NFLX $GOOG $TSLA $AMD $NVDA $MSFT $BA $SQ https://t.co/xQrOCscDJO',779
12,2020-09-23 23:25:00,"b""@BioEqman @saxena_puru He didn't say that.  But look back at some of the biggest winners over the last 5-10 yrs.  $nflx $shop $amzn etc have always been expensive. To each his own though.""",356
13,2020-09-23 23:20:00,"b'Options Trading Pro Cumulative P&amp;L for 9/21-9/23 $26,800.00\xf0\x9f\x92\xb0BOOM \xf0\x9f\xa4\x91 Join US $nflx $roku $spy $amd $nvda $tsla $ba $baba $shop For Transparency Daily Powerful Watchlist, Swing &amp; Day Option Trading Alerts. $wmt $fb $aapl $amzn \xf0\x9f\x92\xa5JOIN A SERVICE WHERE THEY SHOW BOTH PROFIT &amp; LOSS!\xf0\x9f\x92\xa5 https://t.co/HgtQGK9r4d'",3132
14,2020-09-23 23:17:00,b'$MMM was just targeting 163.30 but gave me way more. Beautiful follow through  $SPY $FB $AMZN $AAPL $NFLX $GOOG $TSLA $AMD $NVDA $MSFT $BA $SQ https://t.co/UK1b8uRtV5 https://t.co/nTw9wl8uiA',779
15,2020-09-23 23:07:00,b'$NFLX at support. https://t.co/mckktX2PC9',252
16,2020-09-23 23:03:00,"b""$NFLX... yesterday's low volume day couldn't cut it... https://t.co/9aE0qOMgkD""",13834
17,2020-09-23 23:03:00,b'DROPPED NOW at the #TRICKTRADES #Youtube channel  $SPY $QQQ $AAPL $BABA $NVDA $FB $TSLA $AMD $TWTR $MU $AMZN $NFLX $MSFT $GOOGL #Stock #Market #Trading https://t.co/CzFIvlx7Fg',813
18,2020-09-23 23:00:00,"b'*Another great week! I made over 32k, A big thank you to https://t.co/cB9ml2A8dt  $SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $NIO $INO $OXY $CCL $FB $USO $DAL $TWLO $UGAZ $DIS $ROKU $TVIX $CRON $DJIA $SPX $TLRY $SQ $MSFT $GLD https://t.co/DjcH0579yV'",145
19,2020-09-23 22:59:00,"b'@calgarybourbon1 Dont think $nflx $goog $msft will pull as much as say $tsla $nkla $uri because the first 3 are \xf0\x9f\xa6\xa0 stocks.   I\xe2\x80\x99ll buy dips back into time frame continuity on the first 3.   But, i been wrong about $plnt yesterday &amp; today +2.6%, wtf right? so who knows.'",717
