,timestamp,tweet_text,followers_count
12,2020-09-23 20:57:00,b'Wednesday Market Movers: Dow: $NKE 8.76% $JNJ 0.16% $CRM -4.76% $CVX-4.74% $AAPL-4.20%  S&amp;P 500: $NKE 8.76% $WDC6.72% $TWTR6.09% $ALB -15.56% $APA -9.31% $MPC-7.44%  Other: $NKLA -25.82% $WKHS -16.50% $SFIX -15.52% $TSLA -10.34% $OSTK -9.98% $SGMS-9.83% https://t.co/BR5eIW7ee6',616
13,2020-09-23 20:54:00,"b""Wednesday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $SE $COP $VLO $PSX $EQT $NOV $COG $RRC $QEP $BTU $CVX $MPC $XOM $WMB $EOG $HAL $APA $PXD $KMI $OKE #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas https://t.co/5JE2nlalc3 https://t.co/mSJPh4VBmS""",4547
14,2020-09-23 20:51:00,b'Buying more $cvx',7838
15,2020-09-23 20:49:00,b'I have made more than 39K in few months. You can be make a enough profit. Select this profitable  chatroom: https://t.co/EOfTyyhnJb  $TMO $CSCO $MCD $XOM $ABBV $ASML  $ACN $COST $AVGO $CVX $DHR $LLY $AMGN $MDT $AZN $CHL $TMUS $UPS $UNP $NEE $BMY $MSFT $UAL https://t.co/0Poz9krIZD',23
16,2020-09-23 20:29:00,b'Largest $Notional Sell On Close Order Imbalances $BRK.B $PG $VZ $BAC $JNJ $ORCL $CVX $MRK $KO $PFE https://t.co/V7Aciy2vFa',5312
17,2020-09-23 20:22:00,b'Chevron initiated with a Buy at MKM Partners $CVX',1359
18,2020-09-23 20:20:00,b'$CVX Major Breakdown Daily appearances since 2010: 96 Close 5 days later \xc2\xb1: Avg: 0.26 SD: 4.99 Worst: -18.87 Best: 14.22  10 days later: Avg: 0.03 SD: 6.88 Worst: -26.45 Best: 13.51  30 days later: Avg: -0.86 SD: 11.63 Worst: -37.44 Best: 36.95',287
19,2020-09-23 20:20:00,b'$CVX Minor Breakdown Daily appearances since 2010: 157 Close 5 days later \xc2\xb1: Avg: 0.21 SD: 4.44 Worst: -18.87 Best: 14.22  10 days later: Avg: 0.46 SD: 5.89 Worst: -26.45 Best: 13.51  30 days later: Avg: 0.30 SD: 10.09 Worst: -37.44 Best: 36.95',287
20,2020-09-23 20:17:00,b'Chevron downgraded to Sector Perform from Outperform at Scotiabank $CVX',1359
21,2020-09-23 20:06:00,b'Market is closed\xe2\x9d\x8c  My best 3:   $JNJ \xe2\xac\x86\xef\xb8\x8f 0.15%  That\xe2\x80\x99s it....  My worst 3:   $CVX \xe2\xac\x87\xef\xb8\x8f 4.77% $STAG \xe2\xac\x87\xef\xb8\x8f 4.44% $AAPL \xe2\xac\x87\xef\xb8\x8f 4.28%  Overall: \xf0\x9f\x9f\xa5 2.47%  How\xe2\x80\x99d you do?',4023
