,timestamp,tweet_text,followers_count
23,2020-09-23 21:28:00,"b""$JNJ settled +23cents to $144.44. Black candle... leans s/t bearish. The 200dma can't be expected to hold... in this particular one... not least if sp'3100.  @Road_Builder_TX https://t.co/IaRnVPQFmG""",9138
24,2020-09-23 21:28:00,b'Johnson &amp; Johnson\xe2\x80\x99s Covid-19 vaccine enters phase 3 as a new CNBC poll shows doubts are starting to creep in. Only a 3rd of likely swing state voters say they plan to get it when it becomes available. $JNJ https://t.co/cDDh1DztVl',366807
25,2020-09-23 21:28:00,"b""#FDA commissioner: It's up to #drugmakers developing #vaccines to seek approval or EUA https://t.co/Nzm0sfMe3z   $MRNA $AZN $PFE $JNJ $BNTX $SPY $DIA #WarpSpeed #OperationWarpSpeed""",1096
26,2020-09-23 21:27:00,b'@Trading_Sunset $JNJ and $RTX. Many thanks.',118
27,2020-09-23 21:25:00,"b'$JNJ PREMARKET NOTES  Nice short today, they were gapping up because they were initiating their phase 3 trial, that tells me that they are spending more money and still months away from profits, if they even get approved  +2.5 Point SHORT  https://t.co/8ttHd6DmFO https://t.co/6VErCaX641'",4457
28,2020-09-23 21:24:00,"b'This tweet from September 6, 2016 aged well.  ""The #truth does not need a narrative, only criminals do."" #TheSociopathicBusinessModel   https://t.co/DDOwbcH1Vf  $JNJ #Acclarent #VC #Startup #Fraud https://t.co/RYmkiEgYt6 https://t.co/jBqLomRaSE'",5393
29,2020-09-23 21:20:00,b'*Another great week! Gains of over 2400% and over 18% returns!! A big thank you to this community https://t.co/3ts90sNtzD  $INO $ZM $SPAQ $NKE $TWTR $ACB $WKHS $MNOV  $ROKU  $JNJ $WDC $CVNA $PLUG $VTVT $TTOO $GNUS $XSPA $TRVN $NAKD $SNDL $MVIS $IDEX $ONTX $NAOV $RMTI $AMRN https://t.co/2j5gvvycsp',50
30,2020-09-23 21:18:00,"b'4 Top Stock Trades for Thursday: $NKE, $CHWY, $JNJ, $WORK - https://t.co/DrMi40kZjA'",10586
31,2020-09-23 21:17:00,b'$QQQ $DJI $AAPL $PCLN $BABA $FB $GS $BAC $SNAP $GE $IBM $PM $BTSUSD $usoil $PEP $KO $T $IWM $NFLX $V $AMZN @MrZackMorris   $TSLA $SHLL $NKLA $SHLL $MSFT $GOOGL $MCD $UBER $AIG $WMT $FDX $DIS $GILD $JNJ $SPAQ https://t.co/aqCGZzxtbv',92
32,2020-09-23 21:10:00,b'$ITOX Did u C my alert on UNKNOWN $DRIO run from 5 CENTS to $23!!!? $ITOX ALSO A LOWFLOAT UNKNOWN #AI #IIOT #TECH firm\xf0\x9f\x92\xb8  $IBIO $VIR $GILD $APT $LAKE $RTTR $COCP $IONS $GBT $XON $CRSP $TTOO $NTLA $PBYI $TNXP $TSRO $CELG $BLUE $ALKS $RTTR $JNJ $AYTU $AMGN $SGMO $ONCE $ENDP $LCI $M https://t.co/TcOeRSrNXa',18206
33,2020-09-23 21:09:00,"b'$NDTP well doggie, the website is live now https://t.co/9yCqOrPmZc Brain self repair with nano tech delivered nutrients??  https://t.co/YmgnVQm74v https://t.co/hhgqlAs2Oe https://t.co/KVNuAXoksR https://t.co/vk35YaknC2 $TDOC $NVS $GNBT $AMGN $MRK $PFE $ABT $JNJ $BMY $QDEL $GSK'",1249
