,Unnamed: 0,timestamp,tweet_text,followers_count
20,20.0,2020-09-23 23:05:02,b'#AutomatedTrading #AlgoTrading #MachineLearning $COST $AZO $NKE $ACB $RAD $GIS $KMX $SFIX $AYTU $JKS $FDS $DRI $ACN $TNP $KBH $BB $CTAS $NEOG $WOR $JBL $QTT $CNTG #stocks #DayTrading #SwingTrading  \xf0\x9f\x99\x8b  15% off Monthly/Yearly with Coupon Code: MYDISCOUNT15 https://t.co/egbvLSf50A https://t.co/Emx1Jw253v',143205
21,21.0,2020-09-23 22:59:50,"b'9.23.20 WED  $APPS $TWTR $JKS $SPI $ZM $NKE $AMZN $TSLA $WKHS   CBOE Equity Put/Call Ratio:0.51 for Sep 23 2020  THURSDAY, SEPT. 24 8:30 amInitial jobless claims  10 amFed Chair Jerome Powell testifies on CARES Act https://t.co/LfVdkSKB22'",78
22,22.0,2020-09-23 22:59:08,"b'So Trevor left $NKLA... Will $NKLA file for Chapter11 bankruptcy by the end of this year 2020?   #LOL  If anyone is interested in Japanese, please follow   @sugamo_sugiyama  $SPY $SPCE $GME $TSLA $DIA  $GM $TWTR $SNAP $RXT $QQQ $PTON $LULU $KODK $SNOW $NKE $COST $KBH $SPI $PINS'",634
23,23.0,2020-09-23 22:56:20,"b'So Trevor left $NKLA... How low will $NKLA drop by Oct 16?   #LOL  If anyone is interested in Japanese, please follow   @sugamo_sugiyama  $SPY $SPCE $GME $TSLA $DIA  $GM $TWTR $SNAP $RXT $QQQ $PTON $LULU $KODK $SNOW $NKE $COST $KBH $SPI $PINS'",634
24,24.0,2020-09-23 22:47:33,b'$nke no position; FV 45ish so they had one nice quarter; next 3 at least will be huge losers; looking to short towards 130!',1538
25,25.0,2020-09-23 22:40:27,"b'September Sell-Off: S&amp;P 500 Craters 78 Points, Approaching Correction Levels as Apple, Oxy, Lead Tech Stocks, Energy Stocks Down @themotleyfool #stocks $AAPL $^SPX $PFE $JNJ $AMZN $NKE $OXY $XLE $XLK $TWTR $PTON https://t.co/rW1As6A6yH'",3502
26,26.0,2020-09-23 22:39:47,"b'In a rough day for the market, Nike, Twitter and Amwell(??) topped the ripper list today.   Read why on @public   https://t.co/PkJL8zgylV  $nke $twtr $amwl'",5707
27,27.0,2020-09-23 22:33:15,b'@Navainvest I\xe2\x80\x99m playing the $KMX earnings call for tomorrow morning. I hope it goes vertical like $NKE did last night.',18
28,28.0,2020-09-23 22:22:35,"b""$NKE Was a crazy day, earnings beat made Nike \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80  So what to do?  Most def. don't get the FOMO, wait, let the stock settle 8 out of 10 most will take profits when a stock sky rockets like that...Wait to get confirmation, know your entry &amp; exit, always another opportunity \xf0\x9f\x98\x89 https://t.co/mebQh5QN1L""",725
29,29.0,2020-09-23 22:21:46,"b'Nike hits an all-time high!  Stitch Fix.......not so much.  Tesla hosts ""Battery Day"" and provides updated timelines for various, y\'know....Tesla things.  @flippen_emily analyzes it all, so #InvestorsAssemble!  $NKE $SFIX $TSLA  https://t.co/DbyxeIrMsb'",16161
30,30.0,2020-09-23 22:12:00,"b'""We expected this to be a redeeming quarter for Nike $NKE after reporting a stinker 13 weeks ago \xe2\x80\x93 and the company more than delivered on our bullish expectations.""  via @HedgeyeRetail   https://t.co/VUbAKO2zlh'",87175
31,31.0,2020-09-23 22:10:26,"b""\xf0\x9f\x93\x88 Today's Biggest Winners \xf0\x9f\x93\x88 \xf0\x9f\xa5\x87SPI Energy Co Ltd $SPI \xc2\xbb 14 \xf0\x9f\x94\xbc12.97\xe2\x96\xaa\xef\xb8\x8f\xef\xb8\x8f1259.22% \xf0\x9f\xa5\x88NIKE Inc. Class B $NKE \xc2\xbb 127.11 \xf0\x9f\x94\xbc10.24\xe2\x96\xaa\xef\xb8\x8f\xef\xb8\x8f8.76% \xf0\x9f\xa5\x89Zoom Video Communications Inc. Class A $ZM \xc2\xbb 500.53 \xf0\x9f\x94\xbc7.93\xe2\x96\xaa\xef\xb8\x8f\xef\xb8\x8f1.61% Rankings \xe2\x9e\xa1\xef\xb8\x8f https://t.co/eE0uh7AItt https://t.co/eE0uh7AItt""",449
32,32.0,2020-09-23 22:07:38,b'Stop being on the wrong side the trade  join a winning team  #Dynamic_Trades  $SPY $TSLA $BYND $SQ $ZM $AAPL $NVDA $ROKU $NKE https://t.co/elx85cwq0b',11
33,33.0,2020-09-23 22:06:25,b'2\xef\xb8\x8f\xe2\x83\xa30\xef\xb8\x8f\xe2\x83\xa3 Biggest Market Gainers/Losers $SPI $SUNW $DGLY $LXRP $JKS $DECN $POAI $AMWL $CETX $POLA $DPW $NKE $ACIU $WVE $ACB $RMTI $JE $NKLA $WRTC $ZGNX $WKHS https://t.co/2ptATeUWIk',27618
34,34.0,2020-09-23 22:02:42,"b'AH looks like another sea of red leading into tomorrow\xe2\x80\x99s PM. I only see a handful of companies in green.  As an investor, it\xe2\x80\x99s important to tread lightly during these times and to remember not to catch falling knives.  $QQQ $TSLA $APPL $GOOG $FB $U $SNOW $VIX $SPY $SPX $NKE'",190
35,35.0,2020-09-23 22:00:01,"b'Started trading with $3k, down to $1k, back up to $32k. Big thanks to this community https://t.co/cB9ml2RJ51  $TSLA $AAPL $AAL $GHIV $WVE $AMD $ALKS $QQQ $SRNE $YNDX $NMTR $MSFT $MU $NIO $CCL $SPY $INO $ZM $SPAQ $NKE $TWTR $ACB $WKHS $MNOV  $ROKU  $JNJ $WDC $CVNA $PLUG https://t.co/RoywVJdZQA'",145
36,36.0,2020-09-23 22:00:00,"b""Nike's shares opened at a record high on Wall Street after online sales powered stellar results. Read more https://t.co/ync1YQGrgw $NKE https://t.co/TFi1ZA1Rnw""",2163853
37,37.0,2020-09-23 21:59:37,b'$NKE Just do it! https://t.co/C0cN4uJb0O',172
38,38.0,2020-09-23 21:58:58,b'5 Retail Companies Trading Below the GF Value Line - https://t.co/AVW6OH9iOW https://t.co/xYcsYCGkX4 $NKE $AEO $CRI $GPS $MIK $ULTA',294
39,39.0,2020-09-23 21:58:40,b'$NKE only green in a sea of red today \xf0\x9f\x98\xb1 https://t.co/xS8PyRhaBk',244
