,date_time,neg_x,neu_x,pos_x,compound_x,change in sentiment headlines,change in sentiment headlines (t-1),change in sentiment headlines (t-2),change in sentiment headlines (t-3),followers_count,neg_y,neu_y,pos_y,compound_y,scaled_followers_count,adj compound,change in sentiment twitter,change in sentiment twitter (t-1),change in sentiment twitter (t-2),change in sentiment twitter (t-3),Scaled Volume,Scaled Volume (t-1),Scaled Volume (t-2),Scaled Volume (t-3),Percent Price Change in Current Period,Returns (1 period),Returns (2 period),Returns (3 period),Returns (4 period)
0,2020-09-23 09:30:00,0.0,0.825,0.175,0.1779,0.0,-0.042300000000000004,0.13125,-0.22020000000000003,743.0,0.0,0.918,0.069,0.1531,1.0015810596291426,0.15310879626674156,-0.2512969959867046,0.09937061740059322,0.3050351748528529,0.0,0.1327976,0.0,0.0,0.0,-1.6132029332584112,-0.018826761120765423,-0.013867701469259641,-0.00896394349835894,-0.010240296924140857
1,2020-09-23 10:00:00,0.0,0.816,0.184,0.2023,0.024400000000000005,0.0,-0.042300000000000004,0.13125,789.0,0.0,0.9015,0.0,0.0,1.0016789448820909,0.0,0.0,-0.2512969959867046,0.09937061740059322,0.3050351748528529,0.0687323,0.1327976,0.0,0.0,0.3055054283172284,0.004214521514870784,-0.014691585395693485,-0.009711625680592917,-0.004787200716220186
2,2020-09-23 10:30:00,0.0,0.9125,0.0875,0.08895,-0.11335,0.024400000000000005,0.0,-0.042300000000000004,2219.5,0.0,0.948,0.048,0.06375,1.0047229634547536,0.06429004730411246,0.06429004730411246,0.0,-0.2512969959867046,0.09937061740059322,0.0612774,0.0687323,0.1327976,0.0,-0.21877239285145547,-0.0021796643689058204,0.0020256709035868514,-0.01683922703938956,-0.01187012196503856
3,2020-09-23 11:00:00,0.0,0.855,0.145,0.1779,0.08895,-0.11335,0.024400000000000005,0.0,441.0,0.0,0.954,0.0,0.0,1.0009384216641344,0.0,0.0,0.06429004730411246,0.0,-0.2512969959867046,0.0410263,0.0612774,0.0687323,0.1327976,-0.11617091707664084,-0.0009019436111044055,-0.0030796420456583595,0.0011219002515527876,-0.01772598261724989
4,2020-09-23 11:30:00,0.17800000000000002,0.654,0.168,-0.0258,-0.2037,0.08895,-0.11335,0.024400000000000005,498.0,0.0,0.843,0.12,0.3612,1.001059714260179,0.37210045580480827,0.37210045580480827,0.0,0.06429004730411246,0.0,0.030959,0.0410263,0.0612774,0.0687323,-0.6124285336559292,-0.006032233499171258,-0.006928736375810374,-0.009093298424916352,-0.004917100811898556
5,2020-09-23 12:00:00,0.0,0.769,0.231,0.0258,0.0516,-0.2037,0.08895,-0.11335,213.0,0.0,0.8725,0.0895,0.0,1.000453251279956,0.0,0.0,0.37210045580480827,0.0,0.06429004730411246,0.0451061,0.030959,0.0410263,0.0612774,0.2946954813359529,0.00262026042773833,-0.003427779094161698,-0.004326631041811968,-0.006496864807198466
6,2020-09-23 12:30:00,0.0,0.744,0.256,0.4014,0.3756,0.0516,-0.2037,0.08895,872.0,0.0,0.909,0.078,0.1779,1.001855563925454,0.1985103520038814,0.1985103520038814,0.0,0.37210045580480827,0.0,0.0295727,0.0451061,0.030959,0.0410263,-0.08067186096595085,-0.001214486027791395,0.0014025921302682764,-0.00463810213213689,-0.005535862436655603
7,2020-09-23 13:00:00,0.0,0.744,0.256,0.4014,0.0,0.3756,0.0516,-0.2037,400.0,0.0,0.864,0.0935,0.42115,1.0008511761125936,0.42361825868518826,0.22510790668130687,0.1985103520038814,0.0,0.37210045580480827,0.0208091,0.0295727,0.0451061,0.030959,-0.019485950725281132,-9.153437874054315e-05,-0.0013059092393078453,0.0013109293661284216,-0.004729211965080249
8,2020-09-23 13:30:00,0.0,0.744,0.256,0.4014,0.0,0.0,0.3756,0.0516,646.0,0.0,0.897,0.088,0.28459999999999996,1.0013746494218387,0.2849912252254553,-0.13862703345973298,0.22510790668130687,0.1985103520038814,0.0,0.0247557,0.0208091,0.0295727,0.0451061,-0.3975103007933911,-0.004789114855753507,-0.004880210865841006,-0.00608876994572316,-0.0034844636809272522
9,2020-09-23 14:00:00,0.0,0.744,0.256,0.4014,0.0,0.0,0.0,0.3756,393.5,0.0,0.893,0.0735,0.0,1.0008373445007641,0.0,0.0,-0.13862703345973298,0.22510790668130687,0.1985103520038814,0.0235073,0.0247557,0.0208091,0.0295727,-0.7458410202935749,-0.007669977797306049,-0.012422360248447228,-0.012512757554159926,-0.013712047012732653
10,2020-09-23 14:30:00,0.0,0.744,0.256,0.4014,0.0,0.0,0.0,0.0,436.0,0.0,0.873,0.08,0.3182,1.000927781962727,0.3182514604054152,0.3182514604054152,0.0,-0.13862703345973298,0.22510790668130687,0.0203223,0.0235073,0.0247557,0.0208091,-0.4383976642916895,-0.003932433900198595,-0.011572250016800734,-0.016305944038084386,-0.016395985862367568
11,2020-09-23 15:00:00,0.0,0.744,0.256,0.4014,0.0,0.0,0.0,0.0,433.0,0.0,0.908,0.0,0.0,1.0009213981418825,0.0,0.0,0.3182514604054152,0.0,-0.13862703345973298,0.0356057,0.0203223,0.0235073,0.0247557,-0.07410962755712902,-0.0008806236509517618,-0.004809594556852037,-0.012442682870693056,-0.017172208289065072
12,2020-09-23 15:30:00,0.0,0.744,0.256,0.4014,0.0,0.0,0.0,0.0,145.0,0.0,0.88,0.101,0.4404,1.0003085513408152,0.441323087726466,0.441323087726466,0.0,0.3182514604054152,0.0,0.0615416,0.0356057,0.0203223,0.0235073,-0.2569119270805973,-0.0024248646027261733,-0.003303352860558384,-0.007222796543983834,-0.014837375652163032
