,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-25 20:19:00,AMZN,The Stock Market Had a Bad Week. At Least It Wasnt a Terrible One.,0.218,0.623,0.159,-0.2373
1,2020-09-25 20:05:00,AMZN,Why Rival Bike Peddlers Could Help Boost Pelotons Stock,0.0,0.565,0.435,0.6597
2,2020-09-25 16:25:00,AMZN,Netflix Inc. stock outperforms market on strong trading day,0.0,0.708,0.292,0.5106
3,2020-09-25 16:25:00,AMZN,"Amazon.com Inc. stock rises Friday, outperforms market",0.0,1.0,0.0,0.0
4,2020-09-25 16:25:00,AMZN,"3M Co. stock falls Friday, underperforms market",0.0,1.0,0.0,0.0
5,2020-09-25 16:09:00,AMZN,"Market Recap: Friday, September 25",0.0,1.0,0.0,0.0
6,2020-09-25 15:33:00,AMZN,Tech Companies Wager Billions On Race To Win Over These Consumers,0.0,0.725,0.275,0.5859
7,2020-09-25 15:21:00,AMZN,Amazon releases new product offerings,0.0,0.7020000000000001,0.298,0.1779
8,2020-09-25 13:25:00,AMZN,Wall Street drills Costco stock because it's paying workers $2 more an hour during COVID-19,0.0,1.0,0.0,0.0
9,2020-09-25 13:24:00,AMZN,Antitrust investigations into Google & Facebook heat up,0.0,1.0,0.0,0.0
10,2020-09-25 12:36:00,AMZN,This is the great reset of capitalism: TCR Founder & CEO on corporate responsibility,0.0,0.745,0.255,0.6249
11,2020-09-25 12:30:00,AMZN,2 Big Reasons We'll See Even More Streaming Services in 2021,0.0,1.0,0.0,0.0
12,2020-09-25 11:49:00,AMZN,Why Peloton Interactive Stock Is Running Higher Today,0.0,1.0,0.0,0.0
13,2020-09-25 11:42:00,AMZN,"Stocks on the move: Amazon moves into gaming, Costco reports rise in revenue",0.0,0.8759999999999999,0.124,0.1779
14,2020-09-25 11:37:00,AMZN,Is Spotify Stock a Buy?,0.0,1.0,0.0,0.0
15,2020-09-25 10:31:00,AMZN,A Look Into Amazon.com's Price Over Earnings,0.0,1.0,0.0,0.0
16,2020-09-25 10:30:00,AMZN,Why Buy Costco at a Time When Folks Are Thinning Out Portfolios? Here's Why,0.0,1.0,0.0,0.0
