,ticker,date,time,headline,neg,neu,pos,compound
0,AAPL,2020-09-30,08:34PM,Dow Jones Futures: Stock Market Rally Advances Despite McConnell Stimulus Deal Comments; Tesla Deliveries Due,0.0,1.0,0.0,0.0
1,AAPL,2020-09-30,05:04PM,3 FAANG Stocks That Score a Perfect 10,0.0,0.575,0.425,0.5719
2,AAPL,2020-09-30,04:25PM,Apple Inc. stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
3,AAPL,2020-09-30,04:00PM,"Dow Jones Stocks To Buy And Watch In September 2020: Amgen, Apple, Home Depot, Microsoft",0.0,1.0,0.0,0.0
4,AAPL,2020-09-30,03:34PM,Google Debuts 5G Pixel Phones Ahead of Apples iPhone Launch,0.0,1.0,0.0,0.0
5,AAPL,2020-09-30,03:31PM,Apples App Store war doesnt end with Epic,0.358,0.642,0.0,-0.5994
6,AAPL,2020-09-30,03:27PM,McConnell Relief Deal Remarks Hit Dow Jones; Cluster Of Stocks Pass Buy Points,0.0,0.795,0.205,0.4767
7,AAPL,2020-09-30,02:24PM,"Google Launches $99 Nest Audio Speaker, New Chromecast TV Device",0.0,1.0,0.0,0.0
8,AAPL,2020-09-30,12:04PM,"Dow Jones Jumps 450 Points On Jobs Data, Coronavirus Stimulus Hopes; Apple, Tesla Advance",0.0,0.823,0.177,0.4215
9,AAPL,2020-09-30,11:23AM,3 Stocks to Hold for the Next 20 Years,0.0,1.0,0.0,0.0
10,AAPL,2020-09-30,11:01AM,Is This Apple Supplier About to Break Higher?,0.0,1.0,0.0,0.0
11,AAPL,2020-09-30,11:00AM,Google Is Reportedly About to Clinch Its Fitbit Acquisition,0.0,1.0,0.0,0.0
12,AAPL,2020-09-30,10:00AM,2 Cheap Stocks to Protect Your Retirement Plan,0.0,0.698,0.302,0.3818
13,AAPL,2020-09-30,09:00AM,Google Is Stoking Antitrust Criticisms at the Worst Possible Time,0.429,0.571,0.0,-0.7184
14,AAPL,2020-09-30,08:58AM,Big Tech Faces Ban From Favoring Own Services Under EU Rules,0.234,0.584,0.182,-0.2023
15,AAPL,2020-09-30,08:15AM,"Lessons You Can Learn From 2 Stocks That Turned $10,000 Into Millions",0.0,1.0,0.0,0.0
16,AAPL,2020-09-30,08:10AM,Dow Jones Futures Fall 200 Points Amid Trump-Biden Debate; Regeneron Jumps On Coronavirus Drug News,0.0,1.0,0.0,0.0
17,AAPL,2020-09-30,07:59AM,"U.S. tech giants face curbs on data sharing, digital marketplaces, under draft EU rules",0.0,0.823,0.177,0.4215
18,AAPL,2020-09-30,05:55AM,Apple removes two RSS feed readers from China App Store,0.0,1.0,0.0,0.0
19,AAPL,2020-09-30,05:06AM,Apple CEO Cook awarded stock grants with current valuation of up to $114 million,0.0,0.723,0.277,0.5574
20,AAPL,2020-09-30,02:23AM,"Apple Key Services Suffer Outage, Following Similar Woes For Google, Microsoft",0.416,0.584,0.0,-0.7506
21,AAPL,2020-09-29,10:44PM,Apple CEO Tim Cook Gets First Stock Grant In A Decade Worth Over $114M,0.0,0.714,0.286,0.5267
22,AAPL,2020-09-29,10:15PM,Apple grants CEO Tim Cook first major stock package since 2011,0.0,0.84,0.16,0.2263
23,AAPL,2020-09-29,08:33PM,Apple Gives Tim Cook Up to a Million Shares That Vest Through 2025,0.0,0.833,0.167,0.296
24,AAPL,2020-09-29,08:31PM,Apple and Epic Games Want to Fight Antitrust Case Without a Jury,0.202,0.698,0.101,-0.3182
25,AAPL,2020-09-29,08:28PM,Apple CEO Tim Cook Scores First Major Stock Grant Since 2011,0.0,0.8,0.2,0.3612
26,AAPL,2020-09-29,07:47PM,Apple grants CEO Tim Cook first major stock package since 2011,0.0,0.84,0.16,0.2263
27,AAPL,2020-09-29,05:38PM,Stock-Split Fever Cools as Stock Markets Sink Slightly,0.0,1.0,0.0,0.0
28,AAPL,2020-09-29,04:25PM,"Apple Inc. stock falls Tuesday, underperforms market",0.0,1.0,0.0,0.0
29,AAPL,2020-09-29,01:20PM,Apple Accused of Delaying Masimo Legal Fight to Gain Watch Sales,0.287,0.419,0.293,0.0258
30,AAPL,2020-09-29,01:03PM,25 Most Used Illegal Drugs in America,0.393,0.607,0.0,-0.5965
31,AAPL,2020-09-29,01:01PM,Apple Inc. -- Moody's announces completion of a periodic review of ratings of Apple Inc.,0.0,1.0,0.0,0.0
32,AAPL,2020-09-29,12:13PM,"Dow Jones Falls 200 Points, As Apple, Tesla Stumble; Beyond Meat Soars 12% On Expanded Walmart Partnership",0.0,1.0,0.0,0.0
33,AAPL,2020-09-29,10:55AM,Google Isn't Giving Up on Fitbit Just Yet,0.225,0.775,0.0,-0.2584
34,AAPL,2020-09-29,09:00AM,IDC: Wearables Market to Approach 400 Million Units This Year,0.0,1.0,0.0,0.0
35,AAPL,2020-09-29,08:17AM,Dow Jones Futures: Stock Market Rally Needs This With Presidential Debate On Tap; 7 Leaders In Buy Zones,0.0,1.0,0.0,0.0
36,AAPL,2020-09-29,07:37AM,Will Disney Split Its Stock?,0.0,1.0,0.0,0.0
37,AAPL,2020-09-29,07:30AM,Buy These Top 5G Stocks Before It Gets Too Late,0.0,0.833,0.167,0.2023
38,AAPL,2020-09-29,07:15AM,Apple's App Store Now Faces a Coalition of High-Profile Rebels,0.184,0.816,0.0,-0.2023
