,date_time,ticker,headline,neg,neu,pos,compound,Unnamed: 0
0,2020-09-28 16:52:00,NFLX,"Netflix Inc. stock rises Monday, still underperforms market",0.0,1.0,0.0,0.0,
1,2020-09-28 16:23:00,NFLX,Netflix Seen Raising Prices In Near To Midterm: Analyst,0.0,1.0,0.0,0.0,
2,2020-09-28 16:09:00,NFLX,Netflix Subscribers Are Practically Begging for Another Price Increase,0.0,0.777,0.223,0.3182,
3,2020-09-28 15:50:00,NFLX,"Amazon, Apple, Nvidia, Netflix, PayPal, ServiceNow: Who Got Cut Or Trimmed?",0.16399999999999998,0.703,0.133,-0.1027,
4,2020-09-28 14:30:00,NFLX,Google Tries to Find an App Store Fix After Fortnite Rift,0.0,1.0,0.0,0.0,
5,2020-09-28 13:01:00,NFLX,"4 reasons why October could stink for the stock market, too",0.231,0.769,0.0,-0.4019,
6,2020-09-28 12:34:00,NFLX,The Media Sector Fighting for Survival Through Streaming,0.263,0.737,0.0,-0.3612,
7,2020-09-28 12:25:00,NFLX,Netflix Potential Price Hikes Estimated to Boost Sales,0.0,0.722,0.278,0.4019,
8,2020-09-28 10:59:00,NFLX,"Markets higher with elections, tech in focus",0.0,1.0,0.0,0.0,
9,2020-09-28 10:12:00,NFLX,Looking Into Netflix's Return On Capital Employed,0.0,1.0,0.0,0.0,
10,2020-09-28 08:05:00,NFLX,Netflix price hike looms  here's how much more money Netflix may haul in,0.11800000000000001,0.882,0.0,-0.1531,
11,2020-09-28 07:21:00,NFLX,3 Wildly Successful Stocks I Wouldn't Buy With Free Money,0.21600000000000005,0.48,0.304,0.2728,
12,2020-09-28 05:25:00,NFLX,Big U.S. tech firms fail to comply with curb on Europe data transfers -Schrems,0.212,0.7879999999999999,0.0,-0.5423,
13,2020-09-28 04:01:00,NFLX,Is the controversial Netflix Keeper Test good management?,0.168,0.561,0.271,0.2732,
14,2020-09-27 15:33:00,NFLX,3 Key Ways Netflix Has Changed Its Content Strategy,0.0,1.0,0.0,0.0,
15,2020-09-27 06:48:00,NFLX,I Tried to Time the Stock Market by Buying Netflix and Failed. Here's What I Learned,0.20199999999999999,0.7979999999999999,0.0,-0.5106,
