,ticker,date,time,headline,neg,neu,pos,compound
0,AAPL,2020-09-25,08:44PM,TikTok Judge Schedules Sunday Hearing as Trumps Ban Looms,0.426,0.574,0.0,-0.6369
1,AAPL,2020-09-25,08:39PM,"As Zoom and Videoconferencing Boom, TVs Are Getting Left Behind",0.0,1.0,0.0,0.0
2,AAPL,2020-09-25,08:05PM,Why Rival Bike Peddlers Could Help Boost Pelotons Stock,0.0,0.565,0.435,0.6597
3,AAPL,2020-09-25,07:58PM,What Correction? S&P 500 Surges as Apple Leads Tech Stock Boom and Cruise Stocks Rise; Oil Stocks Fall,0.0,1.0,0.0,0.0
4,AAPL,2020-09-25,05:33PM,"Apple Gives In, Allows Facebook Pay for Paid Online Events",0.135,0.865,0.0,-0.1027
5,AAPL,2020-09-25,05:14PM,"Apple Decides to Waive 30% Cut of Paid Events on Facebook, but Only for 3 Months",0.1,0.9,0.0,-0.1406
6,AAPL,2020-09-25,04:42PM,Dow Jones Finishes Week With Strong Gains; This Leaderboard Stock Is In Buy Range,0.0,0.678,0.322,0.6908
7,AAPL,2020-09-25,04:37PM,Unity Stock Gets Its First Buy Rating From Wall Street,0.0,1.0,0.0,0.0
8,AAPL,2020-09-25,04:33PM,Stocks Stage Late Rally as Investors Look to Next Week,0.0,1.0,0.0,0.0
9,AAPL,2020-09-25,04:25PM,Apple Inc. stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
10,AAPL,2020-09-25,04:06PM,Apple Temporarily Stops Taking 30% Cut of Facebook Paid Events,0.316,0.684,0.0,-0.4019
11,AAPL,2020-09-25,03:03PM,"Boeing, Apple Inc. share gains contribute to Dow's 330-point rally",0.0,0.635,0.365,0.5574
12,AAPL,2020-09-25,02:31PM,Apple Watch reviews: The best features of the Series 6 and SE,0.0,0.704,0.296,0.6369
13,AAPL,2020-09-25,02:03PM,"Dow's 214-point climb led by gains for Boeing, Apple Inc. shares",0.0,0.662,0.338,0.5574
14,AAPL,2020-09-25,01:50PM,Ex-Facebook and Pinterest exec explains how tech addiction made him rethink his life's work,0.0,1.0,0.0,0.0
15,AAPL,2020-09-25,01:39PM,"Nasdaq Soars 150 Points, Fueled By Big Gains For Tesla, Apple, Qualcomm; Boeing Leads Dow Jones",0.0,0.862,0.138,0.34
16,AAPL,2020-09-25,01:03PM,"Boeing, Apple Inc. share gains contribute to Dow's 133-point jump",0.0,0.635,0.365,0.5574
17,AAPL,2020-09-25,12:58PM,"Dow Jones Up 100 Points After Early Dive; Apple, Microsoft Lead Tech Stock Rally",0.0,1.0,0.0,0.0
18,AAPL,2020-09-25,12:53PM,"Buy Apple Stock Ahead of the iPhone 12 Launch, Morgan Stanley Says",0.0,1.0,0.0,0.0
19,AAPL,2020-09-25,12:40PM,Dow Jones Rallies as Apple Stock Touted by Analyst; Light at the End of the Tunnel for Boeing on the 737 MAX,0.054,0.946,0.0,-0.0516
20,AAPL,2020-09-25,12:09PM,"Dow Jones Erases Losses, As Apple, Tesla Jump; Novavax Surges 14% On Coronavirus Vaccine News",0.162,0.838,0.0,-0.4019
21,AAPL,2020-09-25,12:08PM,Facebook events service gets temporary exemption from Apple App Store fees: blog post,0.0,1.0,0.0,0.0
22,AAPL,2020-09-25,12:00PM,"Apple Temporarily Waives 30% Fee for Facebook Paid Live Events, but Not for Gaming Creators",0.0,1.0,0.0,0.0
23,AAPL,2020-09-25,12:00PM,Apple to Let Facebook Online Events Temporarily Avoid 30% Cut,0.35,0.65,0.0,-0.5106
24,AAPL,2020-09-25,12:00PM,Apple is (temporarily) waiving its App Store fee for Facebook's online events,0.0,1.0,0.0,0.0
25,AAPL,2020-09-25,12:00PM,Facebook events service gets temporary exemption from Apple App Store fees -blog post,0.0,1.0,0.0,0.0
26,AAPL,2020-09-25,10:47AM,"Boeing, Apple Inc. share gains contribute to Dow's 60-point jump",0.0,0.635,0.365,0.5574
27,AAPL,2020-09-25,10:26AM,"Dow Jones Stocks To Buy And Watch In September 2020: Amgen, Apple, Home Depot, Microsoft",0.0,1.0,0.0,0.0
28,AAPL,2020-09-25,09:45AM,Google to Increase Push for Apps to Give Cut of In-App Purchases,0.146,0.694,0.16,0.0516
29,AAPL,2020-09-25,09:38AM,Apple Shares Slip As EU Commission Appeals $15 Billion Tax Ruling,0.0,0.82,0.18,0.296
30,AAPL,2020-09-25,09:30AM,Is Qualcomm Stock a Buy?,0.0,1.0,0.0,0.0
31,AAPL,2020-09-25,08:50AM,Apple Stock Really Cant Go Much Higher. Buy These Tech Stocks Instead.,0.0,1.0,0.0,0.0
32,AAPL,2020-09-25,08:16AM,Dow Jones Futures Fall: Look For This Bullish Stock Market Signal; Tech Titans Hold Key Support,0.0,0.847,0.153,0.4019
33,AAPL,2020-09-25,06:00AM,The #MeToo movement blew up the way Hollywood operates: Jessica Alba,0.0,1.0,0.0,0.0
34,AAPL,2020-09-25,05:53AM,Apple says has always abided by Irish law as EU appeals court ruling,0.0,1.0,0.0,0.0
35,AAPL,2020-09-25,05:52AM,EU's Vestager appeals court veto of $15 billion Apple tax order,0.0,1.0,0.0,0.0
36,AAPL,2020-09-25,05:35AM,EU's Vestager appeals court ruling against $15 bln Apple tax order,0.0,1.0,0.0,0.0
37,AAPL,2020-09-25,04:47AM,Apple Dives Deeper In Podcast Game With Scout FM Acquisition,0.0,1.0,0.0,0.0
38,AAPL,2020-09-24,09:40PM,Apple critics form coalition to challenge App Store fees,0.21,0.667,0.124,-0.2263
39,AAPL,2020-09-24,09:10PM,"Apple: Favorable Mix Expected Ahead of iPhone 12 Launch, Says 5-Star Analyst",0.0,0.78,0.22,0.4767
40,AAPL,2020-09-24,07:40PM,"Amazon Chases Google, Microsoft in the Game-Streaming Market",0.0,0.805,0.195,0.1779
41,AAPL,2020-09-24,07:39PM,Election Chaos Might Be Looming. How to Invest Now.,0.426,0.574,0.0,-0.6369
42,AAPL,2020-09-24,06:48PM,Apple Buys Startup That Creates Radio-Like Stations for Podcasts,0.0,0.792,0.208,0.2732
43,AAPL,2020-09-24,06:39PM,Launch Center Pro lets you build custom icons to customize your iOS 14 home screen,0.0,1.0,0.0,0.0
44,AAPL,2020-09-24,05:33PM,Fitbit Sense review,0.0,1.0,0.0,0.0
